names,scores,logfoldchanges,pvals,pvals_adj,comparison,ref_group,target_group
Ralyl,-0.24889426,-22.326433,0.8034425750032759,1.0,astrocyte_vs_endothelial cell,astrocyte,endothelial cell
Znrf3,-0.25707787,-1.2970194,0.7971186694390098,1.0,astrocyte_vs_endothelial cell,astrocyte,endothelial cell
Tox3,-0.25771278,-2.8468728,0.7966285720894136,1.0,astrocyte_vs_endothelial cell,astrocyte,endothelial cell
Adamts20,-0.25771278,-2.494761,0.7966285720894136,1.0,astrocyte_vs_endothelial cell,astrocyte,endothelial cell
Alms1,-0.25792444,-1.5458931,0.7964652241167537,1.0,astrocyte_vs_endothelial cell,astrocyte,endothelial cell
Cdk8,-0.26046416,-1.1699387,0.7945057458962659,1.0,astrocyte_vs_endothelial cell,astrocyte,endothelial cell
Lrrtm3,-0.26568475,-1.7360123,0.790482011883066,1.0,astrocyte_vs_endothelial cell,astrocyte,endothelial cell
Spag1,-0.26624912,-1.8012185,0.7900473458560776,1.0,astrocyte_vs_endothelial cell,astrocyte,endothelial cell
Emp2,-0.2691416,-0.45423025,0.7878207103214795,1.0,astrocyte_vs_endothelial cell,astrocyte,endothelial cell
Palld,-0.27076423,-0.8196208,0.78657237963744,1.0,astrocyte_vs_endothelial cell,astrocyte,endothelial cell
Grm4,-0.2765492,-22.829235,0.7821262928179776,1.0,astrocyte_vs_endothelial cell,astrocyte,endothelial cell
Cnpy1,-0.2765492,-22.677534,0.7821262928179776,1.0,astrocyte_vs_endothelial cell,astrocyte,endothelial cell
Gpr158,-0.2765492,-22.783186,0.7821262928179776,1.0,astrocyte_vs_endothelial cell,astrocyte,endothelial cell
Enox1,-0.2765492,-22.752945,0.7821262928179776,1.0,astrocyte_vs_endothelial cell,astrocyte,endothelial cell
Car3,-0.2765492,-22.736778,0.7821262928179776,1.0,astrocyte_vs_endothelial cell,astrocyte,endothelial cell
E330013P04Rik,-0.2765492,-22.863047,0.7821262928179776,1.0,astrocyte_vs_endothelial cell,astrocyte,endothelial cell
Prox1,-0.2765492,-22.660967,0.7821262928179776,1.0,astrocyte_vs_endothelial cell,astrocyte,endothelial cell
Ptprj,-0.2844506,-1.4623381,0.776065099103356,1.0,astrocyte_vs_endothelial cell,astrocyte,endothelial cell
