names,scores,logfoldchanges,pvals,pvals_adj,comparison,ref_group,target_group
Isyna1,3.5286412,4.434412,0.0004176990611377083,0.002586371895589525,astrocyte_vs_microglial cell,astrocyte,microglial cell
Gimap6,3.5079982,6.8172994,0.00045149218073455434,0.002779330979424194,astrocyte_vs_microglial cell,astrocyte,microglial cell
Srgn,3.4665363,6.052371,0.0005272103416301578,0.0032245280833648796,astrocyte_vs_microglial cell,astrocyte,microglial cell
Bsg,3.4379876,0.4528871,0.000586054697897098,0.003551846653921806,astrocyte_vs_microglial cell,astrocyte,microglial cell
Ccl2,3.4189258,7.8497553,0.0006286890026140102,0.00378728314827717,astrocyte_vs_microglial cell,astrocyte,microglial cell
Frmd4b,3.362355,3.1669931,0.0007728071192605023,0.004600042376550609,astrocyte_vs_microglial cell,astrocyte,microglial cell
Frmd4a,3.2715256,0.782907,0.001069688992317847,0.0063108495121996875,astrocyte_vs_microglial cell,astrocyte,microglial cell
Ubash3b,3.1890414,3.410909,0.0014274547332522236,0.00832335121429868,astrocyte_vs_microglial cell,astrocyte,microglial cell
Hspa1a,3.112179,4.653552,0.0018571188430291396,0.010797202575750812,astrocyte_vs_microglial cell,astrocyte,microglial cell
Dusp2,2.9768133,26.601753,0.002912612634642178,0.016739153072656197,astrocyte_vs_microglial cell,astrocyte,microglial cell
H2-DMa,2.9639883,3.9490464,0.003036798082880425,0.0172545345618206,astrocyte_vs_microglial cell,astrocyte,microglial cell
Fli1,2.8837879,26.411798,0.003929232475657254,0.022074339750883454,astrocyte_vs_microglial cell,astrocyte,microglial cell
Aim2,2.7907624,26.441605,0.0052584037541998415,0.02913243077119026,astrocyte_vs_microglial cell,astrocyte,microglial cell
Cd164,2.7830324,1.3205245,0.005385343346235463,0.029753278155997032,astrocyte_vs_microglial cell,astrocyte,microglial cell
Ankrd44,2.733489,3.5917344,0.006266720044271179,0.03433819202340372,astrocyte_vs_microglial cell,astrocyte,microglial cell
Eng,2.6981764,5.181994,0.0069720502178854706,0.03783877978676748,astrocyte_vs_microglial cell,astrocyte,microglial cell
Tnfaip3,2.6977372,26.340569,0.0069812548706586,0.03783877978676748,astrocyte_vs_microglial cell,astrocyte,microglial cell
Ptpro,2.582751,2.7628026,0.009801603149484495,0.05169255049185518,astrocyte_vs_microglial cell,astrocyte,microglial cell
Pmaip1,2.5546412,5.808568,0.010629726066639752,0.0557990869639882,astrocyte_vs_microglial cell,astrocyte,microglial cell
Nr4a1,2.5480533,3.5357285,0.010832596603358094,0.05656708409064279,astrocyte_vs_microglial cell,astrocyte,microglial cell
Slc11a1,2.5116863,26.14739,0.012015585513146708,0.06225691975723683,astrocyte_vs_microglial cell,astrocyte,microglial cell
Stab1,2.4186609,26.260021,0.01557775646315602,0.07847736253479103,astrocyte_vs_microglial cell,astrocyte,microglial cell
Adap2,2.4186609,26.19742,0.01557775646315602,0.07847736253479103,astrocyte_vs_microglial cell,astrocyte,microglial cell
Adamts1,2.405748,1.944063,0.016139394362966623,0.08110248423601318,astrocyte_vs_microglial cell,astrocyte,microglial cell
Csmd3,2.390112,3.7353303,0.016843236569177657,0.08442725097332159,astrocyte_vs_microglial cell,astrocyte,microglial cell
Igfbp4,2.34215,2.4071426,0.019173014477072606,0.09515143661078215,astrocyte_vs_microglial cell,astrocyte,microglial cell
Rrad,2.2745988,4.189181,0.022930006435390962,0.11185368992873641,astrocyte_vs_microglial cell,astrocyte,microglial cell
Cd74,2.23261,26.09328,0.025574672817224843,0.12354914404456446,astrocyte_vs_microglial cell,astrocyte,microglial cell
Fcgrt,2.170066,1.1146679,0.030001845068590223,0.1421888391876314,astrocyte_vs_microglial cell,astrocyte,microglial cell
Il16,2.165059,5.421802,0.030383168484507842,0.14365564295275576,astrocyte_vs_microglial cell,astrocyte,microglial cell
March1,2.113671,4.4201207,0.034543376575904484,0.16141764755095553,astrocyte_vs_microglial cell,astrocyte,microglial cell
Ccr1,2.046559,25.933538,0.04070138583390321,0.18670360474267528,astrocyte_vs_microglial cell,astrocyte,microglial cell
Pcp4,2.015902,0.7231891,0.04381021582182419,0.20050442023718165,astrocyte_vs_microglial cell,astrocyte,microglial cell
Ccnd1,2.005273,2.2176647,0.04493385724686442,0.20483836920167672,astrocyte_vs_microglial cell,astrocyte,microglial cell
Slc29a3,1.9918332,0.8129786,0.046389364073238674,0.2108607457874485,astrocyte_vs_microglial cell,astrocyte,microglial cell
Fchsd2,1.8372301,1.220887,0.06617594361854544,0.29088326865294695,astrocyte_vs_microglial cell,astrocyte,microglial cell
Cd2ap,1.7937479,2.32031,0.07285341634685388,0.3153827547482852,astrocyte_vs_microglial cell,astrocyte,microglial cell
Cnn2,1.7897949,4.9794445,0.07348687696273362,0.31743791344593353,astrocyte_vs_microglial cell,astrocyte,microglial cell
Dock2,1.7674829,25.630432,0.07714738498582122,0.3313570729873896,astrocyte_vs_microglial cell,astrocyte,microglial cell
Sarnp,1.6979994,0.53984165,0.08950788310439296,0.37767039284553994,astrocyte_vs_microglial cell,astrocyte,microglial cell
Pdlim2,1.5643907,2.300161,0.11772586372923059,0.478560421663539,astrocyte_vs_microglial cell,astrocyte,microglial cell
Tgm2,1.5568361,5.9835954,0.11950939403247926,0.48482512792080834,astrocyte_vs_microglial cell,astrocyte,microglial cell
Ttc28,1.55464,1.1679395,0.12003181406437043,0.48595876139421224,astrocyte_vs_microglial cell,astrocyte,microglial cell
Suclg2,1.5209963,1.3896433,0.12826076069189926,0.5138371047896105,astrocyte_vs_microglial cell,astrocyte,microglial cell
Nupr1,1.5202057,0.8507463,0.12845927619740263,0.5138371047896105,astrocyte_vs_microglial cell,astrocyte,microglial cell
Cxcl2,1.4884067,26.320782,0.1366436761573792,0.5411630738906107,astrocyte_vs_microglial cell,astrocyte,microglial cell
Tagln2,1.4848051,4.1077437,0.13759545291236192,0.5420810321736325,astrocyte_vs_microglial cell,astrocyte,microglial cell
Mertk,1.4299912,0.39315596,0.15271952035542388,0.5851322618981758,astrocyte_vs_microglial cell,astrocyte,microglial cell
Prorsd1,1.4013546,1.5222702,0.16110807166913332,0.6071067850003244,astrocyte_vs_microglial cell,astrocyte,microglial cell
Galk1,1.4012667,2.139685,0.1611343283530573,0.6071067850003244,astrocyte_vs_microglial cell,astrocyte,microglial cell
C5ar1,1.3953812,25.369408,0.16290089880282366,0.6112604082657548,astrocyte_vs_microglial cell,astrocyte,microglial cell
Fcgr2b,1.3953812,25.095205,0.16290089880282366,0.6112604082657548,astrocyte_vs_microglial cell,astrocyte,microglial cell
Maml3,1.3912526,3.9765403,0.16414882516109863,0.6147896073449387,astrocyte_vs_microglial cell,astrocyte,microglial cell
